Country,Cost of Living Plus Rent Index
Switzerland,87.33
Iceland,84.89
Norway,73.99
Luxembourg,73.39
Denmark,59.37
Singapore,70.92
Japan,54.68
Ireland,63.12
South Korea,51.5
Netherlands,56.49
Israel,53.91
France,52.14
Hong Kong,76.44
Belgium,51.73
Australia,56.71
Finland,51.07
New Zealand,53.27
Austria,50.93
Sweden,49.58
Italy,47.1
United States,54.53
Germany,48.88
United Kingdom,50.04
Maldives,49.74
Canada,48.01
Puerto Rico,42.4
Malta,47.18
Qatar,59.4
Taiwan,39.57
Uruguay,39.18
Greece,35.72
Lebanon,43.6
Bahrain,43.41
Spain,39.54
Jamaica,35.88
Cyprus,37.09
United Arab Emirates,51.26
Ghana,44.25
Kuwait,44.37
Slovenia,35.03
Costa Rica,36.05
Jordan,32.97
Trinidad And Tobago,36.05
Fiji,39.76
Estonia,34.66
Portugal,36.53
Panama,38.96
Palestinian Territory,30.49
Mauritius,32.48
Croatia,31.74
Belize,31.01
Latvia,31.85
Chile,32.87
Zimbabwe,30.55
Oman,34.66
Lithuania,31.4
Saudi Arabia,30.14
Namibia,32.65
Slovakia,32.02
Cuba,28.12
Dominican Republic,28.57
Ethiopia,36.63
El Salvador,30.17
Thailand,31.57
Czech Republic,32.31
Nicaragua,28.12
Cambodia,29.73
Guatemala,29.71
Ecuador,27.96
South Africa,30.01
Honduras,27
Hungary,28.46
Iraq,27.27
Malaysia,26.98
Brazil,26.95
China,29.56
Montenegro,25.74
Tanzania,28.77
Poland,27.7
Peru,26.57
Kenya,24.85
Bulgaria,24.71
Vietnam,25.88
Russia,26.19
Romania,24.37
Argentina,24.15
Indonesia,23.21
Serbia,23.01
Bosnia And Herzegovina,22.14
Turkey,22.84
Albania,22.34
Sri Lanka,22.03
Morocco,22.42
Moldova,21.41
Bolivia,22.61
Armenia,21.79
Philippines,20.77
Colombia,21.89
Kazakhstan,22.04
Nigeria,29.15
Belarus,21.65
Macedonia,19.71
Iran,23.37
Mexico,20.6
Bangladesh,18.4
Georgia,20.42
Algeria,18.28
Nepal,17.62
Azerbaijan,19.55
Uganda,18.95
Venezuela,17.86
Ukraine,18.86
Kosovo (Disputed Territory),17.72
Egypt,15.22
Tunisia,15.54
India,15.61
Pakistan,14.11
